SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
228;Jun 03, 2003 03:00 AM;117.02;48.82;40.76;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 03, 2003 01:00 AM;78.54;45.9;18.06;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 02, 2003 07:00 PM;212.75;71.48;85.65;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 02, 2003 02:00 PM;184.16;65.31;71.82;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 02, 2003 06:00 AM;336.07;84.96;155.53;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 02, 2003 03:00 AM;46.57;24.24;13.83;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 02, 2003 12:00 AM;25.34;17.88;4.96;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 01, 2003 07:00 PM;188.03;60.87;77.77;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 01, 2003 05:00 PM;233.2;70.71;99.55;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 01, 2003 02:00 AM;56.97;31.8;14.82;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 01, 2003 12:00 AM;76.52;36.43;23.98;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 31, 2003 03:00 PM;96.35;52.12;24.89;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 30, 2003 02:00 PM;356.57;143.44;124.19;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 30, 2003 02:00 AM;140.11;74.59;36.13;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 29, 2003 11:00 PM;232.75;88.79;85.43;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 29, 2003 10:00 PM;337.58;104.61;141.41;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 29, 2003 09:00 PM;417.19;115.85;184.55;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 29, 2003 09:00 AM;334.1;120.96;126.74;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 29, 2003 01:00 AM;210.39;50.73;99.99;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 28, 2003 08:00 PM;329.1;88.12;148.6;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 28, 2003 12:00 PM;359.62;95.86;161.6;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 27, 2003 04:00 PM;189.82;66.27;73.44;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 27, 2003 03:00 AM;111.61;38.15;43.85;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 26, 2003 10:00 PM;101.38;38.49;36.99;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 26, 2003 03:00 PM;100.14;38.39;36.25;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 26, 2003 02:00 PM;118.36;43.56;44.22;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 26, 2003 12:00 PM;95.64;38.15;33.57;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 26, 2003 09:00 AM;140.12;48.19;54.87;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 25, 2003 08:00 PM;79.9;34.14;26.34;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 25, 2003 09:00 AM;105.37;38.68;39.48;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 25, 2003 07:00 AM;77.31;31.56;26.63;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 24, 2003 03:00 PM;115.55;47.1;39.63;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 24, 2003 08:00 AM;146.24;46.43;60.15;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 24, 2003 07:00 AM;123.75;39.3;50.97;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 24, 2003 02:00 AM;37.62;19.99;9.63;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 24, 2003 01:00 AM;88.16;24.67;38.93;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 22, 2003 11:00 PM;30.36;17.83;6.47;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
